"filename", "language", "TypeScript", "Prisma", "JSON", "TypeScript JSX", "PostCSS", "JavaScript", "JSON with Comments", "XML", "Markdown", "comment", "blank", "total"
"/home/salem/my-projects/mforu_app/src/app/api/admin/categories/[id]/route.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 108
"/home/salem/my-projects/mforu_app/src/app/api/admin/categories/route.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 128
"/home/salem/my-projects/mforu_app/src/app/api/admin/category-rates/route.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 185
"/home/salem/my-projects/mforu_app/src/app/api/admin/constant/route.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 123
"/home/salem/my-projects/mforu_app/src/app/api/admin/dashboard/route.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 49
"/home/salem/my-projects/mforu_app/src/app/api/admin/reports/employee-income-detail/route.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 182
"/home/salem/my-projects/mforu_app/src/app/api/admin/reports/monthly/route.ts", "TypeScript", 237, 0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 275
"/home/salem/my-projects/mforu_app/src/app/api/admin/roles/route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"/home/salem/my-projects/mforu_app/src/app/api/admin/salons/[id]/route.ts", "TypeScript", 143, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 164
"/home/salem/my-projects/mforu_app/src/app/api/admin/salons/route.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 139
"/home/salem/my-projects/mforu_app/src/app/api/admin/users/[id]/route.ts", "TypeScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 191
"/home/salem/my-projects/mforu_app/src/app/api/admin/users/[id]/status/route.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 54
"/home/salem/my-projects/mforu_app/src/app/api/admin/users/route.ts", "TypeScript", 221, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 266
"/home/salem/my-projects/mforu_app/src/app/api/auth/[...nextauth]/route.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 15
"/home/salem/my-projects/mforu_app/src/app/api/auth/login/route.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 74
"/home/salem/my-projects/mforu_app/src/app/api/auth/logout/route.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/salem/my-projects/mforu_app/src/app/api/reports/employee-income/route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 38
"/home/salem/my-projects/mforu_app/src/app/api/salon/addservice/route.ts", "TypeScript", 396, 0, 0, 0, 0, 0, 0, 0, 0, 14, 69, 479
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/[client_id]/balance/route.ts", "TypeScript", 250, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 291
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/[client_id]/debts/route.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 116
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/[client_id]/route.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 107
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/debts/[debt_id]/route.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 98
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/route.ts", "TypeScript", 236, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 276
"/home/salem/my-projects/mforu_app/src/app/api/salon/clients/search/route.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 102
"/home/salem/my-projects/mforu_app/src/app/api/salon/constants/route.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 142
"/home/salem/my-projects/mforu_app/src/app/api/salon/employees/[id]/route.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 92
"/home/salem/my-projects/mforu_app/src/app/api/salon/employees/route.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 75
"/home/salem/my-projects/mforu_app/src/app/api/salon/expenses/route.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 218
"/home/salem/my-projects/mforu_app/src/app/api/salon/reservations/route.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 244
"/home/salem/my-projects/mforu_app/src/app/api/salon/tasks/[id]/assign/route.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/home/salem/my-projects/mforu_app/src/app/api/salon/tasks/route.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/salem/my-projects/mforu_app/src/app/api/salon/users/route.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"/home/salem/my-projects/mforu_app/src/app/api/salon/visits/route.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/salem/my-projects/mforu_app/src/app/api/salon/withdrawals/route.ts", "TypeScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 230
"/home/salem/my-projects/mforu_app/src/app/auth/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 2, 15, 118
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/browser.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 49, 3, 65
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/client.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 59, 6, 87
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/commonInputTypes.ts", "TypeScript", 289, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29, 327
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/enums.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 16
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/internal/class.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 166, 37, 271
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/internal/prismaNamespace.ts", "TypeScript", 1113, 0, 0, 0, 0, 0, 0, 0, 0, 199, 162, 1474
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/internal/prismaNamespaceBrowser.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 33, 52, 206
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 20
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Client.ts", "TypeScript", 710, 0, 0, 0, 0, 0, 0, 0, 0, 686, 123, 1519
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Debt.ts", "TypeScript", 666, 0, 0, 0, 0, 0, 0, 0, 0, 648, 110, 1424
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Employee.ts", "TypeScript", 795, 0, 0, 0, 0, 0, 0, 0, 0, 677, 131, 1603
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Expense.ts", "TypeScript", 991, 0, 0, 0, 0, 0, 0, 0, 0, 672, 141, 1804
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Reservation.ts", "TypeScript", 705, 0, 0, 0, 0, 0, 0, 0, 0, 638, 118, 1461
"/home/salem/my-projects/mforu_app/src/app/generated/prisma/models/Salon.ts", "TypeScript", 924, 0, 0, 0, 0, 0, 0, 0, 0, 716, 146, 1786
